iter	RMSE
0	0.3877501421
1	0.3751629568
2	0.3625459957
3	0.3511368131
4	0.3414285215
5	0.3318065797
6	0.322266748
7	0.3137499014
8	0.3047170577
9	0.2961700396
10	0.2880862065
11	0.2806879949
12	0.2736529957
13	0.2668532504
14	0.2601431714
15	0.2541346906
16	0.2483135983
17	0.2422678303
18	0.2369754729
19	0.2325595536
20	0.2273773464
21	0.2229222291
22	0.2183635361
23	0.2142251806
24	0.2104901983
25	0.2064724722
26	0.2029233498
27	0.1992690698
28	0.195758063
29	0.192593599
30	0.1898350858
31	0.1870437669
32	0.1843153812
33	0.1816345636
34	0.17915857
35	0.1768767179
36	0.1745611041
37	0.1722158536
38	0.1702072451
39	0.1681576619
40	0.1665606208
41	0.1643053766
42	0.1626431878
43	0.1609704426
44	0.1593225572
45	0.1575370323
46	0.1561575871
47	0.1547432216
48	0.1534195926
49	0.1520497185
50	0.151011298
51	0.1497977126
52	0.1486082701
53	0.1474550205
54	0.1464243857
55	0.145337456
56	0.1444992834
57	0.1433815257
58	0.1424452334
59	0.1414254377
60	0.1405119374
61	0.1396714239
62	0.1388483735
63	0.1380359557
64	0.1371483945
65	0.136418096
66	0.1357201752
67	0.1348023955
68	0.1341292376
69	0.1333448195
70	0.1325597595
71	0.1319746445
72	0.1314515079
73	0.1308775831
74	0.1303115579
75	0.1297778251
76	0.1292622992
77	0.1287947825
78	0.1282445208
79	0.1276997469
80	0.1271487283
81	0.1268412408
82	0.1264756499
83	0.1259840601
84	0.1256276813
85	0.1250664764
86	0.1245212646
87	0.1240207114
88	0.1236347034
89	0.1232393792
90	0.1228793618
91	0.122558549
92	0.1222130641
93	0.1217010623
94	0.1213402785
95	0.1209216616
96	0.1205185735
97	0.1202585205
98	0.1199466516
99	0.1195829361
100	0.1192908664
101	0.1189899859
102	0.1186961294
103	0.1183750051
104	0.1180251494
105	0.1177144625
106	0.1173428837
107	0.1169993232
108	0.1165976585
109	0.1162822167
110	0.1159838503
111	0.1156892415
112	0.1153841184
113	0.1151262722
114	0.1148545272
115	0.1146389773
116	0.1143307042
117	0.1140933267
118	0.1138653144
119	0.1136210964
120	0.1134427988
121	0.1132291799
122	0.112947585
123	0.1127403632
124	0.1124745754
125	0.1122112535
126	0.1119436308
127	0.1117332282
128	0.1115338997
129	0.1113008573
130	0.1110098353
131	0.110766064
132	0.1105368505
133	0.1103839016
134	0.110132153
135	0.109925072
136	0.1097174259
137	0.1095071818
138	0.1092284984
139	0.1090193987
140	0.1088536142
141	0.1086507943
142	0.1085144293
143	0.1082688405
144	0.1080897589
145	0.1077902792
146	0.1075789698
147	0.1074371334
148	0.1072576849
149	0.1070681028
150	0.1069148365
151	0.1067293515
152	0.1065361109
153	0.1062962088
154	0.1061187
155	0.1059259539
156	0.1058167201
157	0.1056670271
158	0.1054879846
159	0.1053223416
160	0.1051703614
161	0.105033237
162	0.1048793234
163	0.1047499854
164	0.1045594491
165	0.1043480653
166	0.1041643801
167	0.1040284374
168	0.1038444167
169	0.103676909
170	0.1035017897
171	0.103328914
172	0.1031429645
173	0.1029876176
174	0.10283271
175	0.1026517962
176	0.1025388226
177	0.1023675797
178	0.1022481778
179	0.1021222645
180	0.1019817982
181	0.1018437639
182	0.1017184643
183	0.1015108755
184	0.1013984812
185	0.1012333806
186	0.1010870415
187	0.1009187522
188	0.1008308092
189	0.100632362
190	0.1005574498
191	0.1004399674
192	0.1002856288
193	0.1002045028
194	0.1000543134
195	0.09992808285
196	0.09973748202
197	0.09963803151
198	0.09950895046
199	0.09934653373
200	0.09926401637
201	0.09912937941
202	0.09905411686
203	0.09889139592
204	0.09876205297
205	0.09868598879
206	0.09866107423
207	0.09848033911
208	0.0983468408
209	0.09831775841
210	0.0981814011
211	0.09809237567
212	0.09806472636
213	0.09804216911
214	0.09788650843
215	0.09775782757
216	0.09767886662
217	0.09765264761
218	0.09754123631
219	0.09737705135
220	0.09735184648
221	0.09732431482
222	0.09720442578
223	0.09707875322
224	0.09688860771
225	0.09671424736
226	0.09659207684
227	0.0965324357
228	0.09640346559
229	0.09637962738
230	0.09621406739
231	0.09613924687
232	0.09600514682
233	0.09587180192
234	0.09579504035
235	0.09577574529
236	0.09561939828
237	0.09554718053
238	0.09549067961
239	0.09537166314
240	0.09534927102
241	0.09522826071
242	0.09512951608
243	0.09511141644
244	0.09498595947
245	0.09496513978
246	0.09480683241
247	0.09478649065
248	0.09466251894
249	0.09454325098
250	0.094403735
251	0.09438737941
252	0.09437150885
253	0.09423337683
254	0.09415554912
255	0.09396116717
256	0.0938078614
257	0.09367919716
258	0.09354830823
259	0.09344108648
260	0.09339046952
261	0.09327911677
262	0.09316849341
263	0.09315314923
264	0.09302921371
265	0.09294219468
266	0.09292725243
267	0.09285681138
268	0.09272254857
269	0.09258661536
270	0.09246695337
271	0.09237280486
272	0.09226375346
273	0.09214443012
274	0.09198858425
275	0.09191842603
276	0.09182970397
277	0.09169647602
278	0.09150711919
279	0.09143265912
280	0.09141018983
281	0.09131316219
282	0.09119809029
283	0.09112055195
284	0.09093894128
285	0.09084373412
286	0.09074374039
287	0.09062032349
288	0.09053082273
